id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyrTRf9bMjFv9LWtNN4AaABAg,LosAngeles MexicanMaster,11 hours ago,1532069427335,ORANGE BUFFOON,0,false,0,,,,,,
UgxT4MeHb6s9J00zUCB4AaABAg,Donald J Trump,1 day ago,1532022627345,Me and Putin will make peace,0,true,1,,,,,,
,,,,,,,,UgxT4MeHb6s9J00zUCB4AaABAg.8isqulEjc5h8iuss_cAsI3,LosAngeles MexicanMaster,11 hours ago,1532069427777,BENJAMIN NETANYAHU IS YOUR BOSS!    stupid orange clown,0
UgyQEavPr2OPYD0biKV4AaABAg,art hick,1 day ago,1532022627355,I FUCKING LOVE TRUMP. HE IS HAVING A BLAST WITH THESE TERRORIST DEMOCRATS. MUELLER INVESTIGATION? OK! I'LL GO MEAT PUTIN AND DO WHAT'S HONORABLE. INVESTIGATE THAT POS DEMOCRATS. LOVE YOU TRUMP! MAGA,0,false,0,,,,,,
UgxYQzwc6W6U6oimr5h4AaABAg,Katone Vi,1 day ago,1532022627359,"Conservatives: Love guns
Liberals: Can't figure out which bathroom to use.",0,false,0,,,,,,
UgztbOC038O2YLnsDN54AaABAg,Kris Chu,1 day ago,1532022627369,Great job! At least this one isn’t warmongering like the previous one,0,false,0,,,,,,
UgxvEo_AUs6LX_RyBfl4AaABAg,What is truth?,1 day ago,1532022627374,Trump is a straight shooter.  God bless him.,0,false,0,,,,,,
UgxgAB64HWhfYYX7jCZ4AaABAg,mc 74 Two,1 day ago,1532022627382,Would instead of wouldn't lol ok # Free Donald Trump.,1,false,0,,,,,,
UgxBP_wX74xYziWqUjN4AaABAg,Companion,2 days ago,1531936227386,Trump is a SLIder. :D (slider syndrome),0,false,0,,,,,,
UgxXtGKdCDiAwa9ZH3V4AaABAg,sander Tamso,2 days ago,1531936227393,"Its like the MUPPETSHOW.
Reading a script to give people a illusion that they can choise.
They are no country's,but corperations.
They all working together at the same scam how to rob the people.
What you now see is a pack of hyena's in each country and suck the people dry with taxing them because there proxy wars they play out.
Its the central banks who run all the corperations.

The corperation media cannot explane what the meeting is about.
Only a story for the goyim you hear.",0,false,0,,,,,,
UgzbGwr7qBIF_4YWO514AaABAg,DoITdoItRight,2 days ago,1531936227399,"What about the DNC meddling in American Elections? Gov. Terry McAuliffe(VA)(D) releasing 206,000 criminals in time for the 2016 POTUS election. Hillary won the state by 200,000 votes, how convenient. Operation Veritas uncovering DNC voting fraud methods first hand from some of their top officials. The Main Stream Media Outlets assaulting Trump and praising Hillary, how about totally false polls having Hillary way ahead all the way through the election cycle, no illegal collusion there? The DNC scuttling Bernie Sanders in the primaries in favor of Killary, admitted to by Donna Brazile in her book. Not to mention all the elections that the US is involved in fixing around the globe. So shut up about all this ""Russian Collusion"", ""BIG NOTHING BURGER"" (Van Jones CNN). Put some people in jail for doing all this and being asinine enough to think Hillary Rotten Clinton could win an election for dog catcher anywhere in America.",0,false,0,,,,,,
UgxV3I4VjNNVok2bxPB4AaABAg,Shane Mac,2 days ago,1531936227405,"WRONG Elizabeth 2nd is not inspiring or a great person, she's the daughter of Winston Churchill, along with Bill Clinton, sired from the Clinton cigar tube of artificial insemination",1,false,0,,,,,,
Ugzc_P9MhWbqyWpZX1J4AaABAg,Begitte Olsen,2 days ago,1531936227412,"I think TRUMP did VERY well in Helsinki.
But some of you missed something important by interpreting his words instead of listening to what he actually said.

He said:
""Russia DID interfere in our election""...

BUT he DIDN'T say:

""The Russian GOVERNMENT DID interfere in our election.

BIG DIFFERENCE, PEOPLE..BIG DIFFERENCE!",0,false,0,,,,,,
Ugy_tGBoLEPxgaMMBsl4AaABAg,Tom Riviere,2 days ago,1531936227416,"Unfortunately, what the Americans really have are politicians ""who obediently rubber-stamp decisions made by and for the interests of the military-industrial complex and Wall Street,""

The rules we live by were the lies, and it didn’t apply to those who made them.",0,false,0,,,,,,
UgzKbl2c4nv5FOd9NkJ4AaABAg,Conscious Being,2 days ago,1531936227424,"Damn! This guy is clever! In the presence of Putin he said ""I don't see why Russia would do it"" and now he claims he meant to say ""I don't see why Russia wouldn't do it"". Maintains the diplomatic decorum, while shutting up the sensible among his detractors.
Why wouldn't Russia influence US elections if they could? What moron expects they wouldn't try? It is a complete non-event that they tried to do it, successfully or otherwise.
What matters is if any candidate or campaign colluded with a foreign power in an illegal manner to effect the election. Until Mueller proves collusion between Trump team and Russia, there is nothing to see here.",0,false,0,,,,,,
UgxfA147Guy2Mg1kddl4AaABAg,Mario Spiros,2 days ago,1531936227432,I want to do the b.m s.x with Mike Tyson on my fantasy Island in UFC cage.,0,false,0,,,,,,
UgximAoMcqz_Z9-f18R4AaABAg,Hassim Fahd,2 days ago,1531936227439,"Why he against the migration, yes it is true we want to keep migrating to the Slav and Anglo country and take all your land and women and punch you out with a cheap shot free of charge. Just joking.",1,false,0,,,,,,
UgzKdUjtuscZdupyMUl4AaABAg,Neil Roberts,2 days ago,1531936227447,how can he publicly condemn Russian election meddling when none happened ?,0,false,0,,,,,,
Ugw9q5z5ag_YTQw_LXp4AaABAg,Mohammad Doofesh,2 days ago,1531936227451,"إِنَّ الَّذِينَ كَفَرُوا يُنْفِقُونَ أَمْوَالَهُمْ لِيَصُدُّوا عَنْ سَبِيلِ اللَّهِ فَسَيُنْفِقُونَهَا ثُمَّ تَكُونُ عَلَيْهِمْ حَسْرَةً ثُمَّ يُغْلَبُونَ وَالَّذِينَ كَفَرُوا إِلَى جَهَنَّمَ يُحْشَرُونَ 
36. Verily, those who disbelieve spend their wealth to hinder (men) from the Path of Allaah, and so will they continue to spend it; but in the end it will become an anguish for them. Then they will be overcome. And those who disbelieve will be gathered unto Jahannam.",0,false,0,,,,,,
Ugy3UiAQQB_Ev9e7R194AaABAg,Robert Hawkins,2 days ago,1531936227459,Fuck trump! Fuck Putin! Fuck this place! Out.🖕,0,false,0,,,,,,
UgzDuC94Sv2z38JtJp54AaABAg,Yas Hamdi,2 days ago,1531936227463,Loud woman yelling at the end. Shut up bitch,0,false,0,,,,,,
UgxduEqA3JVJ-QGorh54AaABAg,Kalash Operator,2 days ago,1531936228956,Liberals are foaming out the mouth. There’s enough foaming to put out California’s wildfires,0,false,0,,,,,,
UgySQoOBXuLe23kkwzx4AaABAg,Jack Daniels,2 days ago,1531936228965,"Putin: Go ahead, tell them your name
Trump: My name is reek",0,false,0,,,,,,
UgywHPLlNlEWe3ndTHl4AaABAg,380stroker,2 days ago,1531936228969,"Trump is doing exactly what I like.  That's why I voted for him.  If anything, he's too soft on the fake news media.  He needs to step it up.",2,false,0,,,,,,
UgxxUCjeaNnZ6qYtvpB4AaABAg,Hgktkd Jdhbvso,2 days ago,1531936228978,Why do I have to watch RT to see unfettered footage and non parsed clips... From America we support PEACE and love our Christian Russian brothers.,0,false,0,,,,,,
UgxRgoNv1bU7eq8H5rl4AaABAg,David Wong,2 days ago,1531936228985,"Mr. Trump, you can lie to US public but you can’t take back or change your “words” that you gave to President Putin! Because President Putin is not a fool like you ! 😂🤣😂",0,false,0,,,,,,
UgwIlir9uDIqkKv-WNJ4AaABAg,User TAB,2 days ago,1531936228991,It's getting more and more interesting by the day.,0,false,0,,,,,,
UgzaaCmjl61zPJioyo14AaABAg,bubbahubba,2 days ago,1531936228998,"Frauds and more Ponzi Schemes. Oh and a very very fake President just like the all the past ones. 

Clowns.",1,false,0,,,,,,
